number	organism	concat(propertyValue, year(Request.createDate), '/', filename)	codeApplication	codeSampleFileType
5X1	Human	/Data01/gnomex/ExperimentData/2011/5R/fastq/7940X13_81BNAABXX_8_sequence.txt.gz	MRNASEQ	fastqRead1
5X2	Human	/Data01/gnomex/ExperimentData/2011/5R/fastq/7940X14_81BNAABXX_8_sequence.txt.gz	MRNASEQ	fastqRead1
5X3	Human	/Data01/gnomex/ExperimentData/2011/5R/fastq/7940X15_81BNAABXX_8_sequence.txt.gz	MRNASEQ	fastqRead1
24X1	Zebrafish	/Data01/gnomex/ExperimentData/2011/24R/Fastq/8187X1_110524_SN141_0355_AD0D99ABXX_1.txt.gz	MRNASEQ	fastqRead1
24X2	Zebrafish	/Data01/gnomex/ExperimentData/2011/24R/Fastq/8187X2_110524_SN141_0355_AD0D99ABXX_1.txt.gz	MRNASEQ	fastqRead1
24X4	Zebrafish	/Data01/gnomex/ExperimentData/2011/24R/Fastq/9004X1_120214_SN141_0456_AD0P20ACXX_1.txt.gz	MRNASEQ	fastqRead1
25X1	Zebrafish	/Data01/gnomex/ExperimentData/2011/25R/Fatq/8092X1_110412_SN141_0334_A81FDFABXX_8.txt.gz	MRNASEQ	fastqRead1
25X2	Zebrafish	/Data01/gnomex/ExperimentData/2011/25R/Fatq/8092X2_110412_SN141_0334_A81FDFABXX_8.txt.gz	MRNASEQ	fastqRead1
26X1	Zebrafish	/Data01/gnomex/ExperimentData/2011/26R/bioanalysis/Fastq/7940X1_81BNAABXX_6_sequence.txt.gz	MRNASEQ	fastqRead1
26X2	Zebrafish	/Data01/gnomex/ExperimentData/2011/26R/bioanalysis/Fastq/7940X2_81BNAABXX_6_sequence.txt.gz	MRNASEQ	fastqRead1
26X3	Zebrafish	/Data01/gnomex/ExperimentData/2011/26R/bioanalysis/Fastq/7940X3_81BNAABXX_6_sequence.txt.gz	MRNASEQ	fastqRead1
26X4	Zebrafish	/Data01/gnomex/ExperimentData/2011/26R/bioanalysis/Fastq/7940X4_81BNAABXX_6_sequence.txt.gz	MRNASEQ	fastqRead1
26X5	Zebrafish	/Data01/gnomex/ExperimentData/2011/26R/bioanalysis/Fastq/7940X5_81BNAABXX_6_sequence.txt.gz	MRNASEQ	fastqRead1
26X6	Zebrafish	/Data01/gnomex/ExperimentData/2011/26R/bioanalysis/Fastq/7940X6_81BNAABXX_6_sequence.txt.gz	MRNASEQ	fastqRead1
26X7	Zebrafish	/Data01/gnomex/ExperimentData/2011/26R/bioanalysis/Fastq/7940X7_81BNAABXX_7_sequence.txt.gz	MRNASEQ	fastqRead1
26X8	Zebrafish	/Data01/gnomex/ExperimentData/2011/26R/bioanalysis/Fastq/7940X8_81BNAABXX_7_sequence.txt.gz	MRNASEQ	fastqRead1
26X9	Zebrafish	/Data01/gnomex/ExperimentData/2011/26R/bioanalysis/Fastq/7940X9_81BNAABXX_7_sequence.txt.gz	MRNASEQ	fastqRead1
26X10	Zebrafish	/Data01/gnomex/ExperimentData/2011/26R/bioanalysis/Fastq/7940X10_81BNAABXX_7_sequence.txt.gz	MRNASEQ	fastqRead1
26X11	Zebrafish	/Data01/gnomex/ExperimentData/2011/26R/bioanalysis/Fastq/7940X11_81BNAABXX_7_sequence.txt.gz	MRNASEQ	fastqRead1
26X12	Zebrafish	/Data01/gnomex/ExperimentData/2011/26R/bioanalysis/Fastq/7940X12_81BNAABXX_7_sequence.txt.gz	MRNASEQ	fastqRead1
27X1	Zebrafish	/Data01/gnomex/ExperimentData/2011/27R/Fastq/8294X2_110801_SN141_0373_AC03UUABXX_4.txt.gz	CHIPSEQ	fastqRead1
